month,platform,followers,impressions,engagements,engagement_rate_pct,link_clicks,mentions
2025-01,LinkedIn,12000,77636,3158,4.07,237,64
2025-01,Twitter/X,25000,97699,1704,1.75,184,72
2025-01,Instagram,18000,95580,3943,4.13,257,96
2025-01,YouTube,4500,24882,649,2.61,33,133
2025-02,LinkedIn,12720,97442,3999,4.1,478,139
2025-02,Twitter/X,24625,160953,2078,1.29,223,98
2025-02,Instagram,18540,94936,3637,3.83,521,140
2025-02,YouTube,4680,24589,519,2.11,77,129
2025-03,LinkedIn,13440,48697,2275,4.67,311,87
2025-03,Twitter/X,24250,144442,2079,1.44,115,63
2025-03,Instagram,19080,133832,3755,2.81,312,71
2025-03,YouTube,4860,27638,806,2.92,68,65
2025-04,LinkedIn,14160,94695,3715,3.92,269,78
2025-04,Twitter/X,23875,88439,1154,1.31,115,74
2025-04,Instagram,19620,148606,4914,3.31,531,102
2025-04,YouTube,5040,15449,411,2.66,27,144
2025-05,LinkedIn,14880,55700,2151,3.86,125,149
2025-05,Twitter/X,23500,129507,2016,1.56,114,117
2025-05,Instagram,20160,81638,3312,4.06,233,44
2025-05,YouTube,5220,16613,410,2.47,43,28
2025-06,LinkedIn,15600,107291,4211,3.93,431,77
2025-06,Twitter/X,23125,115713,1777,1.54,116,43
2025-06,Instagram,20700,151294,6240,4.12,544,55
2025-06,YouTube,5400,33587,809,2.41,42,40
2025-07,LinkedIn,16319,107376,4568,4.25,240,48
2025-07,Twitter/X,22750,94534,1515,1.6,78,33
2025-07,Instagram,21240,148671,4534,3.05,522,50
2025-07,YouTube,5580,19514,437,2.24,53,131
2025-08,LinkedIn,17040,121854,4673,3.84,545,46
2025-08,Twitter/X,22375,99920,1736,1.74,89,31
2025-08,Instagram,21780,87978,2496,2.84,170,95
2025-08,YouTube,5760,29417,850,2.89,111,64
2025-09,LinkedIn,17760,76316,2905,3.81,316,54
2025-09,Twitter/X,22000,134656,1946,1.45,204,76
2025-09,Instagram,22320,99822,11537,11.56,1457,38
2025-09,YouTube,5940,43613,1084,2.49,151,123
2025-10,LinkedIn,18480,94729,3065,3.24,235,90
2025-10,Twitter/X,21625,133369,1806,1.35,115,128
2025-10,Instagram,22860,181097,6403,3.54,430,55
2025-10,YouTube,6119,18919,551,2.91,34,94
2025-11,LinkedIn,19200,83909,3429,4.09,394,127
2025-11,Twitter/X,21250,85682,1033,1.21,65,137
2025-11,Instagram,23400,172445,6270,3.64,690,106
2025-11,YouTube,6300,24424,711,2.91,65,69
2025-12,LinkedIn,19920,111444,3649,3.28,243,115
2025-12,Twitter/X,20875,71267,1113,1.56,82,70
2025-12,Instagram,23940,106376,3508,3.3,427,58
2025-12,YouTube,6480,37791,935,2.48,108,141
